date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:16:07	80900/80900	------	200	untouched ('OK')	application/x-javascript	etag:%2213c04-5f059acfcb6a6%22	https://www.afbank.com/sites/default/files/js/js_lbiJgXoeIA2vYVKoDlu8esyovhkUwvMklob31egmmf0.js	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/js/js_lbiJgXoeIA2vYVKoDlu8esyovhkUwvMklob31egmmf0.js	(from https://www.afbank.com/)
07:16:07	141878/141878	------	200	untouched ('OK')	application/x-javascript	etag:%2222a36-5f059acfefcbc%22	https://www.afbank.com/sites/default/files/js/js_tV4SfBRpfqCbIK1u0OEA5gspngvhWHjsNOljc2Z69hc.js	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/js/js_tV4SfBRpfqCbIK1u0OEA5gspngvhWHjsNOljc2Z69hc.js	(from https://www.afbank.com/)
07:16:07	496/496	------	200	untouched ('OK')	image/svg+xml	etag:%221f0-5c613ab8aeebb%22	https://www.afbank.com/sites/all/themes/afb/img/search.svg	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/all/themes/afb/img/search.svg	(from https://www.afbank.com/)
07:16:07	0/-1	---M--	301	error ('')			https://www.afbank.com/content/academy-bank-personal-banking	C:/Users/USER/Desktop/download/Test/www.afbank.com/content/academy-bank-personal-banking.14.delayed	(from https://www.afbank.com/)
07:16:07	217/217	------	302	error ('Found')	text/html	date:Wed,%2021%20Dec%202022%2023:45:17%20GMT	https://www.afbank.com/locations	C:/Users/USER/Desktop/download/Test/www.afbank.com/locations.16.delayed	(from https://www.afbank.com/)
07:16:07	43870/43870	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:16%20GMT	https://www.afbank.com/business	C:/Users/USER/Desktop/download/Test/www.afbank.com/business.html	(from https://www.afbank.com/)
07:16:07	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Dec%202022%2023:45:54%20GMT	https://www.afbank.com/loans/personal-loans/military-access-loan	C:/Users/USER/Desktop/download/Test/www.afbank.com/loans/personal-loans/military-access-loan.2e.delayed	(from https://www.afbank.com/)
07:16:07	355230/355230	------	200	untouched ('OK')	text/html	etag:W/%22307839c78f732b09e98a5c6bd81f35b5%22-gzip	https://www.afbank.com/locations/	C:/Users/USER/Desktop/download/Test/www.afbank.com/locations/index.html	(from https://www.afbank.com/)
07:16:07	65944/65944	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:18%20GMT	https://www.afbank.com/help-center	C:/Users/USER/Desktop/download/Test/www.afbank.com/help-center.html	(from https://www.afbank.com/)
07:16:07	50907/50907	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:19%20GMT	https://www.afbank.com/media	C:/Users/USER/Desktop/download/Test/www.afbank.com/media.html	(from https://www.afbank.com/)
07:16:07	58507/58507	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:20%20GMT	https://www.afbank.com/content/education	C:/Users/USER/Desktop/download/Test/www.afbank.com/content/education.html	(from https://www.afbank.com/)
07:16:07	54170/54170	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:20%20GMT	https://www.afbank.com/blog	C:/Users/USER/Desktop/download/Test/www.afbank.com/blog.html	(from https://www.afbank.com/)
07:16:07	14730/14730	------	200	untouched ('OK')	image/svg+xml	etag:%22398a-5e1f86456eecf%22	https://www.afbank.com/sites/all/themes/afb/logo.svg	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/all/themes/afb/logo.svg	(from https://www.afbank.com/)
07:16:07	74504/74504	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:23%20GMT	https://www.afbank.com/personal/accounts/new-recruit/recruit-access-checking	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/new-recruit/recruit-access-checking.html	(from https://www.afbank.com/)
07:16:07	56479/56479	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:24%20GMT	https://www.afbank.com/personal/accounts/new-recruit/recruiter-resources	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/new-recruit/recruiter-resources.html	(from https://www.afbank.com/)
07:16:07	74482/74482	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:37%20GMT	https://www.afbank.com/personal/accounts/digital-banking	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/digital-banking.html	(from https://www.afbank.com/)
07:16:07	58772/58772	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:39%20GMT	https://www.afbank.com/personal/accounts/new-recruit/military-early-pay	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/new-recruit/military-early-pay.html	(from https://www.afbank.com/)
07:16:07	62880/62880	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:40%20GMT	https://www.afbank.com/personal/accounts/savings/savings-account	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/savings/savings-account.html	(from https://www.afbank.com/)
07:16:07	63371/63371	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:41%20GMT	https://www.afbank.com/personal/credit-cards/credit-builder	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/credit-cards/credit-builder.html	(from https://www.afbank.com/)
07:16:07	83524/83524	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:42%20GMT	https://www.afbank.com/personal/accounts/checking/compare-accounts	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/checking/compare-accounts.html	(from https://www.afbank.com/)
07:16:07	74065/74065	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:43%20GMT	https://www.afbank.com/personal/accounts/checking/access-investment-checking-account	C:/Users/USER/Desktop/download/Test/www.afbank.com/personal/accounts/checking/access-investment-checking-account.html	(from https://www.afbank.com/)
