date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:53	80900/80900	---M--	200	added ('OK')	application/x-javascript	etag:%2213c04-5f059acfcb6a6%22	https://www.afbank.com/sites/default/files/js/js_lbiJgXoeIA2vYVKoDlu8esyovhkUwvMklob31egmmf0.js	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/js/js_lbiJgXoeIA2vYVKoDlu8esyovhkUwvMklob31egmmf0.js	(from https://www.afbank.com/)
00:45:53	496/496	---M--	200	added ('OK')	image/svg+xml	etag:%221f0-5c613ab8aeebb%22	https://www.afbank.com/sites/all/themes/afb/img/search.svg	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/all/themes/afb/img/search.svg	(from https://www.afbank.com/)
00:45:54	47082/47082	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Dec%202022%2023:45:15%20GMT	https://www.afbank.com/POST	C:/Users/USER/Desktop/download/Test/www.afbank.com/POST	(from https://www.afbank.com/)
00:45:54	141878/141878	---M--	200	added ('OK')	application/x-javascript	etag:%2222a36-5f059acfefcbc%22	https://www.afbank.com/sites/default/files/js/js_tV4SfBRpfqCbIK1u0OEA5gspngvhWHjsNOljc2Z69hc.js	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/js/js_tV4SfBRpfqCbIK1u0OEA5gspngvhWHjsNOljc2Z69hc.js	(from https://www.afbank.com/)
00:45:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Dec%202022%2023:45:16%20GMT	https://www.afbank.com/content/academy-bank-personal-banking	C:/Users/USER/Desktop/download/Test/www.afbank.com/content/academy-bank-personal-banking	(from https://www.afbank.com/)
00:45:56	217/217	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Dec%202022%2023:45:17%20GMT	https://www.afbank.com/locations	C:/Users/USER/Desktop/download/Test/www.afbank.com/locations	(from https://www.afbank.com/)
00:45:56	43870/43870	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:16%20GMT	https://www.afbank.com/business	C:/Users/USER/Desktop/download/Test/www.afbank.com/business.html	(from https://www.afbank.com/)
00:45:57	355230/355230	---MC-	200	added ('OK')	text/html	etag:W/%22307839c78f732b09e98a5c6bd81f35b5%22-gzip	https://www.afbank.com/locations/	C:/Users/USER/Desktop/download/Test/www.afbank.com/locations/index.html	(from https://www.afbank.com/)
00:45:57	65944/65944	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:18%20GMT	https://www.afbank.com/help-center	C:/Users/USER/Desktop/download/Test/www.afbank.com/help-center.html	(from https://www.afbank.com/)
00:45:58	50907/50907	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:19%20GMT	https://www.afbank.com/media	C:/Users/USER/Desktop/download/Test/www.afbank.com/media.html	(from https://www.afbank.com/)
00:45:59	58507/58507	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:20%20GMT	https://www.afbank.com/content/education	C:/Users/USER/Desktop/download/Test/www.afbank.com/content/education.html	(from https://www.afbank.com/)
00:46:00	54170/54170	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:20%20GMT	https://www.afbank.com/blog	C:/Users/USER/Desktop/download/Test/www.afbank.com/blog.html	(from https://www.afbank.com/)
00:46:01	14730/14730	---M--	200	added ('OK')	image/svg+xml	etag:%22398a-5e1f86456eecf%22	https://www.afbank.com/sites/all/themes/afb/logo.svg	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/all/themes/afb/logo.svg	(from https://www.afbank.com/)
